Rk,School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,For.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
318,UC Davis,33,20,13,.606,-1.33,-2.85,14,6,10,6,8,6,2351,2246,1330,799,1808,.442,230,684,.336,523,699,.748,327,1102,411,257,116,444,633
319,UC Irvine,34,24,10,.706,6.89,-0.93,17,3,13,0,8,9,2639,2321,1370,967,2035,.475,197,565,.349,508,675,.753,360,1287,529,219,113,393,624
320,UC Riverside,34,16,18,.471,-4.26,-1.23,10,10,10,5,4,12,2404,2448,1366,842,2122,.397,287,904,.317,433,604,.717,420,1256,446,191,48,326,586
321,UC San Diego,33,21,12,.636,2.04,-2.80,15,5,14,2,7,8,2530,2290,1335,884,1933,.457,293,818,.358,469,624,.752,317,1147,429,205,91,320,532
322,UC Santa Barbara,31,16,15,.516,-3.19,-3.01,9,11,9,7,6,7,2337,2280,1250,826,1684,.490,187,519,.360,498,677,.736,252,1081,417,152,99,405,511
323,UCF,33,17,16,.515,11.92,8.17,7,11,11,8,3,7,2366,2242,1325,817,1945,.420,225,698,.322,507,723,.701,408,1243,375,287,165,413,601
324,UCLA,33,16,17,.485,7.50,7.84,10,10,9,7,5,6,2177,2160,1320,762,1820,.419,183,552,.332,470,644,.730,339,1115,368,192,109,358,609
325,UNC Asheville,34,22,12,.647,-1.92,-2.99,12,4,12,2,5,7,2682,2485,1375,906,1950,.465,277,759,.365,593,799,.742,319,1182,534,203,146,403,581
326,UNC Greensboro,32,21,11,.656,-0.27,-2.90,12,6,11,3,7,7,2422,2233,1290,865,1878,.461,322,812,.397,370,507,.730,319,1133,473,223,81,349,549
327,UNC Wilmington,31,21,10,.677,1.21,-2.90,12,6,10,2,10,6,2461,2202,1260,863,1871,.461,258,741,.348,477,628,.760,330,1066,379,202,75,266,527
328,UT Arlington,34,20,14,.588,2.38,0.69,13,7,12,3,5,10,2614,2492,1365,880,1981,.444,305,861,.354,549,747,.735,404,1275,536,241,130,526,706
329,Utah,37,22,15,.595,15.00,9.41,9,11,17,2,2,9,2915,2708,1495,1082,2309,.469,345,933,.370,406,625,.650,370,1438,654,217,154,426,587
330,Utah State,35,28,7,.800,11.56,5.29,14,4,14,1,8,4,2788,2497,1420,999,2036,.491,226,678,.333,564,783,.720,332,1254,572,238,148,385,594
331,Utah Tech,31,11,20,.355,-8.08,-1.18,7,13,6,7,5,13,2194,2389,1250,771,1724,.447,201,596,.337,451,699,.645,307,1070,401,205,133,495,647
332,Utah Valley,32,16,16,.500,-1.33,-0.03,11,9,10,4,5,10,2199,2195,1290,801,1851,.433,154,540,.285,443,655,.676,335,1179,477,222,143,395,578
333,UTEP,34,18,16,.529,-1.49,-1.30,7,9,13,5,2,9,2470,2348,1370,859,1922,.447,194,609,.319,558,809,.690,361,1124,439,389,97,500,677
334,UTSA,32,11,21,.344,-5.26,-0.71,5,13,7,9,4,11,2483,2591,1300,837,2040,.410,311,922,.337,498,701,.710,419,1289,444,161,133,360,573
335,Valparaiso,32,7,25,.219,-8.25,1.17,3,17,6,11,1,13,2163,2416,1280,796,1961,.406,234,721,.325,337,471,.715,320,1064,384,197,113,353,521
336,Vanderbilt,32,9,23,.281,0.19,8.16,4,14,8,10,1,9,2173,2428,1285,748,1877,.399,209,738,.283,468,660,.709,344,1102,300,196,92,333,489
337,Vermont,35,28,7,.800,2.78,-3.31,15,1,16,1,10,4,2506,2205,1405,900,1980,.455,300,878,.342,406,567,.716,268,1212,478,206,136,322,488
338,Villanova,34,18,16,.529,14.44,9.82,10,10,10,6,4,8,2388,2231,1390,826,1945,.425,315,933,.338,421,521,.808,288,1184,437,197,81,327,520
339,Virginia,34,23,11,.676,10.45,7.31,13,7,15,2,5,6,2140,2033,1375,808,1887,.428,220,615,.358,304,477,.637,298,1107,509,239,169,274,460
340,Virginia Commonwealth,38,24,14,.632,8.70,4.41,11,7,13,6,7,5,2697,2534,1530,906,2059,.440,322,911,.353,563,721,.781,343,1336,515,246,167,462,625
341,VMI,32,4,28,.125,-20.65,-2.44,1,17,4,10,0,15,2204,2644,1285,818,1935,.423,210,673,.312,358,517,.692,299,1170,335,179,82,507,539
342,Virginia Tech,34,19,15,.559,11.91,7.97,10,10,15,2,2,10,2547,2413,1360,886,1905,.465,276,792,.348,499,629,.793,263,1101,514,180,83,376,540
343,Wagner,33,17,16,.515,-10.64,-8.58,7,9,7,5,9,10,2103,2083,1335,758,1913,.396,238,727,.327,349,496,.704,369,1183,421,195,76,326,507
344,Wake Forest,35,21,14,.600,14.94,7.52,11,9,17,2,2,9,2733,2473,1410,968,2042,.474,278,764,.364,519,653,.795,296,1197,429,207,145,375,542
345,Washington,32,17,15,.531,11.85,8.38,9,11,11,6,5,6,2579,2468,1305,931,1980,.470,258,728,.354,459,636,.722,301,1151,482,184,118,374,585
346,Washington State,35,25,10,.714,14.02,7.19,14,6,15,2,6,4,2574,2335,1410,948,2046,.463,223,658,.339,455,646,.704,391,1317,435,181,172,383,582
347,Weber State,32,20,12,.625,-0.49,-4.15,11,7,12,2,7,7,2414,2161,1290,843,1797,.469,251,721,.348,477,637,.749,248,1025,390,221,53,316,495
348,West Virginia,32,9,23,.281,3.73,10.76,4,14,9,9,0,9,2234,2459,1290,767,1784,.430,233,667,.349,467,662,.705,293,1080,417,139,114,405,487
349,Western Carolina,32,22,10,.688,1.96,-3.35,11,7,12,3,10,6,2459,2198,1295,902,1963,.460,261,713,.366,394,553,.712,335,1269,367,141,103,330,536
350,Western Illinois,33,21,12,.636,-8.75,-7.37,13,5,10,5,10,6,2272,2167,1330,826,1936,.427,195,611,.319,425,691,.615,482,1397,421,173,185,436,470
351,Western Kentucky,34,22,12,.647,1.19,-2.91,8,8,12,2,6,7,2728,2531,1361,996,2138,.466,233,686,.340,503,699,.720,361,1358,454,260,110,470,625
352,Western Michigan,32,12,20,.375,-9.30,-3.79,9,9,7,7,3,12,2281,2396,1295,828,1912,.433,253,747,.339,372,595,.625,402,1212,418,169,87,428,550
353,Wichita State,34,15,19,.441,2.02,3.20,5,13,10,5,2,10,2475,2484,1370,935,2091,.447,220,660,.333,385,552,.697,396,1339,413,213,142,419,522
354,William & Mary,33,10,23,.303,-11.33,-5.55,4,14,7,7,2,13,2305,2380,1325,787,1910,.412,296,916,.323,435,620,.702,341,1161,407,156,56,357,560
355,Winthrop,32,17,15,.531,-1.97,-3.42,8,8,11,5,6,9,2475,2287,1310,818,1763,.464,238,697,.341,601,856,.702,341,1134,380,201,89,415,570
356,Wisconsin,36,22,14,.611,16.01,11.35,11,9,14,3,3,9,2688,2520,1455,952,2067,.461,256,734,.349,528,699,.755,362,1224,458,224,59,358,594
357,Wofford,32,17,15,.531,-3.87,-1.60,10,8,11,2,6,9,2384,2362,1300,874,1905,.459,306,852,.359,330,532,.620,337,1190,494,142,86,373,522
358,Wright State,32,18,14,.563,-0.22,-3.62,13,7,9,7,7,6,2767,2599,1295,1033,1948,.530,218,569,.383,483,638,.757,290,1111,529,200,90,379,499
359,Wyoming,32,15,17,.469,0.54,4.57,8,10,9,5,3,10,2331,2383,1290,791,1755,.451,241,648,.372,508,686,.741,307,1103,374,165,80,408,500
360,Xavier,34,16,18,.471,12.23,11.03,9,11,11,7,3,9,2579,2538,1360,923,2116,.436,232,678,.342,501,672,.746,401,1297,551,236,115,396,572
361,Yale,33,23,10,.697,4.63,0.41,11,3,9,2,9,6,2465,2226,1340,919,1969,.467,241,687,.351,386,546,.707,326,1205,495,204,105,316,499
362,Youngstown State,32,22,10,.688,0.97,-5.11,14,6,14,3,8,7,2598,2269,1290,931,2064,.451,282,872,.323,454,589,.771,409,1279,490,198,156,353,520
